Severity,Title,File,Line,Code,Details,CWE ID,Source
POTENTIAL ISSUE,Public Class Not Declared as Final,cowcontroller.java,10,public class CowController {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,cowsay.java,6,public class Cowsay {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,linklister.java,13,public class LinkLister {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,linkscontroller.java,14,public class LinksController {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,logincontroller.java,13,public class LoginController {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,postgres.java,12,public class Postgres {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,unsafequeryservlet.java,13,public class UnsafeQueryServlet extends HttpServlet {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
HIGH,Poor Input Validation,unsafequeryservlet.java,26,"String username = request.getParameter(""username"");",The application appears to use data contained in the HttpServletRequest without validation or sanitisation. No validator plug-ins were located in the application's XML files.,,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,user.java,12,public class User {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
STANDARD,Class Contains Public Variable: hashedPassword,user.java,13,"public String id, username, hashedPassword;","The class variable may be accessed and modified by other classes without the use of getter/setter methods. It is considered unsafe to have public fields or methods in a class unless required as any method, field, or class that is not private is a potential avenue of attack. It is safer to provide accessor methods to variables in order to limit their accessibility.",,VCG
POTENTIAL ISSUE,Public Class Not Declared as Final,vulnadoapplication.java,9,public class VulnadoApplication {,The class is not declared as final as per OWASP recommendations. It is considered best practice to make classes final where possible and practical (i.e. It has no classes which inherit from it). Non-Final classes can allow an attacker to extend a class in a malicious manner. Manually inspect the code to determine whether or not it is practical to make this class final.,,VCG
MEDIUM,Origin Validation Error,logincontroller.java,17,,"CORS policy ""*"" might be too permissive. This allows malicious code on other domains to communicate with the application, which is a security risk","CWE-346, CWE-942",Snyk
MEDIUM,Origin Validation Error,commentscontroller.java,16,,"CORS policy ""*"" might be too permissive. This allows malicious code on other domains to communicate with the application, which is a security risk","CWE-346, CWE-942",Snyk
MEDIUM,Origin Validation Error,commentscontroller.java,23,,"CORS policy ""*"" might be too permissive. This allows malicious code on other domains to communicate with the application, which is a security risk","CWE-346, CWE-942",Snyk
MEDIUM,Origin Validation Error,commentscontroller.java,29,,"CORS policy ""*"" might be too permissive. This allows malicious code on other domains to communicate with the application, which is a security risk","CWE-346, CWE-942",Snyk
HIGH,Cross-site Scripting (XSS),cowcontroller.java,13,,"Unsanitized input from an HTTP parameter flows into here, where it is used to render an HTML page returned to the user. This may result in a Cross-Site Scripting attack (XSS).",CWE-79,Snyk
HIGH,Server-Side Request Forgery (SSRF),linkscontroller.java,17,,"Unsanitized input from an HTTP parameter flows into org.jsoup.Jsoup.connect, where it is used as an URL to perform a request. This may result in a Server-Side Request Forgery vulnerability.",CWE-918,Snyk
HIGH,Server-Side Request Forgery (SSRF),linkscontroller.java,21,,"Unsanitized input from an HTTP parameter flows into org.jsoup.Jsoup.connect, where it is used as an URL to perform a request. This may result in a Server-Side Request Forgery vulnerability.",CWE-918,Snyk
HIGH,Command Injection,cowcontroller.java,13,,"Unsanitized input from an HTTP parameter flows into command, where it is used as a shell command. This may result in a Command Injection vulnerability.",CWE-78,Snyk
HIGH,SQL Injection,logincontroller.java,20,,"Unsanitized input from an HTTP parameter flows into executeQuery, where it is used in an SQL query. This may result in an SQL Injection vulnerability.",CWE-89,Snyk
,,cowcontroller.java,11,"@[1m[24mRequestMapping[0m(value = ""/cowsay"")",Detected a method annotated with 'RequestMapping' that does not specify the HTTP method.,,Semgrep
,,cowsay.java,11,"[1m[24mprocessBuilder.command(""bash"", ""-c"", cmd)[0m;",A formatted or concatenated string was detected as input to a ProcessBuilder call. This is,,Semgrep
,,linkscontroller.java,19,"@[1m[24mRequestMapping[0m(value = ""/links-v2"", produces = ""application/json"")",Detected a method annotated with 'RequestMapping' that does not specify the HTTP method.,,Semgrep
,,unsafequeryservlet.java,46,"[1m[24mresponse.getWriter().println(""Secret: "" + secret)[0m;",Detected a request with potential user-input going into a OutputStream or Writer object.,,Semgrep
CRITICAL,Unsanitized external input in SQL query,user.java,49,ResultSet rs = stmt.executeQuery(query);,,,Bearer
MEDIUM,Observable Timing Discrepancy,logincontroller.java,21,if (Postgres.md5(input.password).equals(user.hashedPassword)) {,,CWE-208,Bearer
LOW,Leakage of sensitive information in exception message,comment.java,55,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,comment.java,70,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,cowsay.java,24,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,postgres.java,25,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,postgres.java,100,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,postgres.java,114,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,user.java,34,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,user.java,58,e.printStackTrace();,,,Bearer
CRITICAL,Usage of hard-coded database password,unsafequeryservlet.java,29,"connection = DriverManager.getConnection(DB_URL, DB_USER, DB_PASSWORD);",,,Bearer
CRITICAL,Unsanitized external input in SQL query,unsafequeryservlet.java,41,result = statement.executeQuery(query);,,,Bearer
CRITICAL,Unsanitized external input in SQL query,user.java,49,ResultSet rs = stmt.executeQuery(query);,,,Bearer
MEDIUM,Observable Timing Discrepancy,logincontroller.java,21,if (Postgres.md5(input.password).equals(user.hashedPassword)) {,,CWE-208,Bearer
LOW,Leakage of sensitive information in exception message,comment.java,55,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,comment.java,70,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,cowsay.java,24,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,postgres.java,25,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,postgres.java,100,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,postgres.java,114,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,unsafequeryservlet.java,49,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,unsafequeryservlet.java,52,try { if (result != null) result.close(); } catch (Exception e) { e.printStackTrace(); },,,Bearer
LOW,Leakage of sensitive information in exception message,unsafequeryservlet.java,53,try { if (statement != null) statement.close(); } catch (Exception e) { e.printStackTrace(); },,,Bearer
LOW,Leakage of sensitive information in exception message,unsafequeryservlet.java,54,try { if (connection != null) connection.close(); } catch (Exception e) { e.printStackTrace(); },,,Bearer
LOW,Leakage of sensitive information in exception message,user.java,34,e.printStackTrace();,,,Bearer
LOW,Leakage of sensitive information in exception message,user.java,58,e.printStackTrace();,,,Bearer
